id,pov_sum,povsource,pop_sum,popsource
15230,2570,"HarvestChoice, 2015",542635.117788536,"WorldPop, 2015"
15179,183,"HarvestChoice, 2015",451406.060487572,"WorldPop, 2015"
15224,465,"HarvestChoice, 2015",504523.73476604,"WorldPop, 2015"
15178,277,"HarvestChoice, 2015",193495.813934643,"WorldPop, 2015"
15244,16121,"HarvestChoice, 2015",3674711.87786773,"WorldPop, 2015"
15181,358,"HarvestChoice, 2015",95461.8085922599,"WorldPop, 2015"
15190,8254,"HarvestChoice, 2015",2076094.3383317,"WorldPop, 2015"
15220,874,"HarvestChoice, 2015",469046.455656709,"WorldPop, 2015"
15195,2149,"HarvestChoice, 2015",509215.567728825,"WorldPop, 2015"
15236,3373,"HarvestChoice, 2015",925685.057413965,"WorldPop, 2015"
15201,5075,"HarvestChoice, 2015",1444511.60430522,"WorldPop, 2015"
15229,187,"HarvestChoice, 2015",57227.4567710906,"WorldPop, 2015"
15176,411,"HarvestChoice, 2015",320527.839685712,"WorldPop, 2015"
15208,2907,"HarvestChoice, 2015",839942.546626596,"WorldPop, 2015"
15213,10535,"HarvestChoice, 2015",3382024.06825861,"WorldPop, 2015"
15216,7627,"HarvestChoice, 2015",1984772.98656864,"WorldPop, 2015"
15192,1794,"HarvestChoice, 2015",444223.571201952,"WorldPop, 2015"
15189,13911,"HarvestChoice, 2015",3500133.06004956,"WorldPop, 2015"
15194,1315,"HarvestChoice, 2015",332196.139011348,"WorldPop, 2015"
15218,703,"HarvestChoice, 2015",509019.759202488,"WorldPop, 2015"
15227,483,"HarvestChoice, 2015",105372.547755972,"WorldPop, 2015"
15238,7024,"HarvestChoice, 2015",1654642.83689077,"WorldPop, 2015"
15239,4469,"HarvestChoice, 2015",1010361.94482639,"WorldPop, 2015"
15242,467,"HarvestChoice, 2015",104211.7099807,"WorldPop, 2015"
15237,8586,"HarvestChoice, 2015",1974567.67681581,"WorldPop, 2015"
15234,525,"HarvestChoice, 2015",86427.5867103338,"WorldPop, 2015"
15177,248,"HarvestChoice, 2015",267254.926949393,"WorldPop, 2015"
15191,2137,"HarvestChoice, 2015",502471.181705277,"WorldPop, 2015"
15222,385,"HarvestChoice, 2015",763338.325687667,"WorldPop, 2015"
15217,704,"HarvestChoice, 2015",546776.533545608,"WorldPop, 2015"
