id,adm0_name,adm1_name,ame,integer2x2,agpot_prox2mark,sqkm,source
37846,Tanzania,Arusha,Arusha Urban,203,hi-hi,267.199506,Calculated from polygon area
37847,Tanzania,Arusha,Arusha,203,hi-hi,1238.1269,Calculated from polygon area
37848,Tanzania,Arusha,Karatu,102,lo-lo,3247.65571,Calculated from polygon area
37849,Tanzania,Arusha,Lake Eyasi,102,lo-lo,923.44819,Calculated from polygon area
37850,Tanzania,Arusha,Lake Manyara,202,lo-hi,192.90767,Calculated from polygon area
37851,Tanzania,Arusha,Longido,102,lo-lo,8065.64715,Calculated from polygon area
37852,Tanzania,Arusha,Meru,203,hi-hi,1266.54725,Calculated from polygon area
37853,Tanzania,Arusha,Monduli,102,lo-lo,6991.8668,Calculated from polygon area
37854,Tanzania,Arusha,Ngorongoro,102,lo-lo,15953.4883,Calculated from polygon area
37855,Tanzania,Dar es Salaam,Ilala,203,hi-hi,364.732356,Calculated from polygon area
37856,Tanzania,Dar es Salaam,Kinondoni,103,hi-lo,538.721975,Calculated from polygon area
37857,Tanzania,Dar es Salaam,Temeke,103,hi-lo,734.459914,Calculated from polygon area
37858,Tanzania,Dodoma,Bahi,202,lo-hi,5647.28989,Calculated from polygon area
37859,Tanzania,Dodoma,Chamwino,102,lo-lo,9152.09021,Calculated from polygon area
37860,Tanzania,Dodoma,Chemba,103,hi-lo,7308.2201,Calculated from polygon area
37861,Tanzania,Dodoma,Dodoma Urban,202,lo-hi,2613.47589,Calculated from polygon area
37862,Tanzania,Dodoma,Kondoa,103,hi-lo,5804.24351,Calculated from polygon area
37863,Tanzania,Dodoma,Kongwa,203,hi-hi,3962.49882,Calculated from polygon area
37864,Tanzania,Dodoma,Mpwapwa,102,lo-lo,7464.82255,Calculated from polygon area
37865,Tanzania,Geita,Bukombe,103,hi-lo,8184.54461,Calculated from polygon area
37866,Tanzania,Geita,Chato,103,hi-lo,3122.50447,Calculated from polygon area
37867,Tanzania,Geita,Geita,203,hi-hi,4771.00094,Calculated from polygon area
37868,Tanzania,Geita,Mbogwe,103,hi-lo,2311.84897,Calculated from polygon area
37869,Tanzania,Geita,Nyang'wale,103,hi-lo,1625.42205,Calculated from polygon area
37870,Tanzania,Iringa,Iringa Rural,103,hi-lo,18851.4827,Calculated from polygon area
37871,Tanzania,Iringa,Iringa Urban,203,hi-hi,369.992124,Calculated from polygon area
37872,Tanzania,Iringa,Kilolo,102,lo-lo,9257.50671,Calculated from polygon area
37873,Tanzania,Iringa,Mafinga Township Authority,103,hi-lo,574.454768,Calculated from polygon area
37874,Tanzania,Iringa,Mufindi,103,hi-lo,7539.44646,Calculated from polygon area
37875,Tanzania,Kagera,Biharamulo,103,hi-lo,7595.71465,Calculated from polygon area
37876,Tanzania,Kagera,Bukoba Rural,102,lo-lo,1680.63628,Calculated from polygon area
37877,Tanzania,Kagera,Bukoba Urban,,,84.501635,Calculated from polygon area
37878,Tanzania,Kagera,Karagwe,102,lo-lo,5240.92167,Calculated from polygon area
37879,Tanzania,Kagera,Kyerwa,102,lo-lo,2637.07082,Calculated from polygon area
37880,Tanzania,Kagera,Lake Victoria,102,lo-lo,10269.0545,Calculated from polygon area
37881,Tanzania,Kagera,Missenyi,102,lo-lo,2876.32003,Calculated from polygon area
37882,Tanzania,Kagera,Muleba,102,lo-lo,3560.28493,Calculated from polygon area
37883,Tanzania,Kagera,Ngara,102,lo-lo,3313.74752,Calculated from polygon area
37884,Tanzania,Katavi,Lake Rukwa,,,807.465194,Calculated from polygon area
37885,Tanzania,Katavi,Lake Tanganyika,103,hi-lo,1445.116,Calculated from polygon area
37886,Tanzania,Katavi,Mlele,103,hi-lo,30074.2247,Calculated from polygon area
37887,Tanzania,Katavi,Mpanda Urban,102,lo-lo,324.422769,Calculated from polygon area
37888,Tanzania,Katavi,Mpanda,102,lo-lo,17294.6787,Calculated from polygon area
37889,Tanzania,Kigoma,Buhigwe,103,hi-lo,1538.10097,Calculated from polygon area
37890,Tanzania,Kigoma,Kakonko,103,hi-lo,2245.40227,Calculated from polygon area
37891,Tanzania,Kigoma,Kasulu Township Authority,203,hi-hi,933.402776,Calculated from polygon area
37892,Tanzania,Kigoma,Kasulu,103,hi-lo,7360.11001,Calculated from polygon area
